video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=OaBkj8GHd_E&t=294s&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@UW_Athletics,UW Athletics,Mia Hamant Celebration of Life,3.6K,Streamed 2 weeks,The University of Washington Department of Athletics pays tribute to the life and legacy of women's soccer student-athlete Mia ...,2026-01-22 04:46:35.683968
/watch?v=JLafA9i1cJE&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@nancyhe,Nancy He 何南希,COLLEGE MOVE IN DAY | University of Washington (freshman),29K,3 years,"collegemovein #movingout #dormroom #universityofwashington The video you've all been waiting for! In this video, I moved into a ...",2026-01-22 04:46:35.685131
/watch?v=oOTy5hzapkI&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@purpleguac,Purple Guac,Why University of Washington is THE BEST,33K,5 years,"UW Talk Episode 3. We are seniors in college with differing backgrounds, experiences, and career paths. We came together to ...",2026-01-22 04:46:35.686762
/watch?v=RRd8OMaLvAE&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@TimothyJoo,Tim Joo,my 5 Years of College at the University of Washington in Seattle,3.4K,3 years,HI FRIENDS! this week is such a vulnerable... and just personal video... This is a high-level perspective of my story at the ...,2026-01-22 04:46:35.688104
/watch?v=772uTuN09ac&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@mynametrong5508,mynametrong,University of Washington - Pros and Cons,121K,8 years,My personal experience and opinion of the pros and cons of going to the University of Washington Seattle campus. Please leave ...,2026-01-22 04:46:35.689810
/watch?v=24Y4aT52ekU&list=RD24Y4aT52ekU&start_radio=1&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uoAcB,/@hydraFB,Hydra,"University of Washington Fight Song- ""Bow Down to Washington""",151K,5 years,"OPEN DESCRIPTION Happy New Year!!! This video is the University of Washington fight song! If you enjoyed it, please be sure to ...",2026-01-22 04:46:35.691047
/watch?v=grV2rONv_fY&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@surabhisyt,surabhi,COLLEGE DORM MOVE IN VLOG @ university of washington *freshman year*,7.6K,1 year,"hey guys! so sorry for how delayed this video is, i've been really busy with college however, i still wanted to share it with you ...",2026-01-22 04:46:35.692141
/watch?v=OoDaGYVbYRs&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@universityofwashington,UW (University of Washington),Conference of Champions preview – University of Washington,951,10 years,Pac-12 Networks celebrates Pac-12 students and their championship performance in the classroom with the special Conference ...,2026-01-22 04:46:35.694080
/watch?v=qssBcJ20Dq8&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@theitwinerary,The Itwinerary,WALKING: University of Washington- Seattle,6.7K,3 years,"""The University of Washington (UW, simply Washington, or informally U-Dub)[7] is a public research university in Seattle, ...",2026-01-22 04:46:35.695224
/watch?v=kmyp8hJ0Woc&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@CBSSports,CBS Sports,Washington Huskies vs Washington State Cougars | Apple Cup | Full Game Highlights,168K,4 months,Watch the full game highlights of the matchup between Washington and Washington State. SUBSCRIBE TO OUR CHANNEL: ...,2026-01-22 04:46:35.696633
